Lexical class,English word,Experiment 1 (written words),Experiment 2 (spoken words),Experiment 5 (alien accuracy)
noun,tooth,1,0.944444444,37.07692308
noun,top,1.090909091,1.6,45.45454545
noun,towel,-0.235294118,0.545454545,21.06666667
noun,toy,0.909090909,0.2,30.63636364
noun,tractor,0.583333333,0.666666667,17.29411765
noun,train,-0.090909091,-0.1875,35.09090909
noun,trash,0.7,1.166666667,36
noun,tray,-0.066666667,-0.5,32.11111111
noun,tree,-0.923076923,-0.583333333,40.55
noun,truck,0.6,-0.090909091,28.8
noun,tummy,2,1.181818182,49.5
noun,tuna,0.153846154,-0.533333333,25.73333333
noun,turkey,0.066666667,0.833333333,38.31578947
noun,turtle,0,0.176470588,24.2
noun,TV,1.090909091,1.363636364,37.81818182
noun,uncle,0.166666667,1,15.38888889
noun,vacuum,0.1,1.8,17.44444444
noun,vagina,-0.9,-1.272727273,22
noun,vanilla,0.181818182,-0.666666667,18.4
noun,vitamins,0.583333333,0.25,39.17647059
noun,walker,0.8,1.2,40.9
noun,wind,1.142857143,0.1,55.6
noun,window,-0.833333333,0,34.6
noun,wolf,1.25,1.307692308,47.7
noun,woods,2.333333333,1.615384615,43
noun,yard,-0.272727273,0.272727273,16.6
noun,yesterday,0.733333333,1.2,21.18181818
noun,yogurt,-0.166666667,0.166666667,28.69230769
noun,zebra,-0.538461538,-0.363636364,18.66666667
noun,zipper,2.923076923,3.4,50.66666667
noun,zoo,1.538461538,-0.642857143,38
sound effect,baa,2.818181818,3.071428571,44.05882353
sound effect,choo-choo,3,3.363636364,59.0625
sound effect,cockadoodledoo,3.733333333,2.333333333,47.5
sound effect,grr,2,4.642857143,56.07142857
sound effect,meow,3.5,3.384615385,43.1
sound effect,moo,3.882352941,3.5,63.09090909
sound effect,ouch,3.461538462,3.333333333,48.5
sound effect,peekaboo,1.8,2.545454545,52.8
sound effect,quack,4.076923077,4.25,56
sound effect,shh,3.5625,3,59.15384615
sound effect,uh oh,4.363636364,2.285714286,49.72727273
sound effect,vroom,3.545454545,3.916666667,70.66666667
sound effect,woof,3.266666667,4.071428571,75.08333333
sound effect,yum,2.846153846,3.4375,67.2
verb,bite,2,1.571428571,28.7
verb,blow,1.363636364,2,43.64285714
verb,break,2.9,1.8,35.75
verb,bring,0.133333333,0.666666667,37.5
verb,build,1.153846154,0.857142857,26.3
verb,bump,3.363636364,2.133333333,45.33333333
verb,buy,-0.083333333,-1.538461538,20.75
verb,carry,0,0.466666667,21.6875
verb,catch,0.461538462,0.846153846,42.78571429
verb,chase,0.692307692,0.166666667,36.25
verb,clap,2.833333333,3.090909091,67
verb,climb,0.846153846,1,41.9
verb,close,-0.125,1.153846154,42
verb,cook,0.9,-0.333333333,33.42857143
verb,cover,0.428571429,1.333333333,35.57894737
verb,cry,0.866666667,1.833333333,45.2
verb,cut,0.705882353,2,49.6
verb,dance,0.153846154,1.3,38.36363636
verb,draw,0.2,1.090909091,28.3
verb,drive,0.230769231,0.3125,37.11111111
verb,drop,1.071428571,1.846153846,42.53846154
verb,dump,2.9375,2.4,50.5
verb,eat,0.647058824,1.090909091,46.7
verb,fall,1.533333333,1.461538462,49.84615385
verb,feed,0.8,1.454545455,41.1
verb,find,0,0.4,22
verb,finish,0.181818182,0.071428571,19.58333333
verb,fit,0.470588235,0.75,27.66666667
verb,fix,0.538461538,0.333333333,32.72727273
verb,get,-0.583333333,1,33.93333333
verb,give,1.272727273,0.2,29.72727273
verb,go,1.454545455,1.615384615,71.35714286
verb,hate,1.4375,1.083333333,45.92307692
verb,have,-0.266666667,-0.3,22.72727273
verb,hear,0.066666667,0,31.91666667
verb,help,1.533333333,1.428571429,35.6
verb,hide,1.142857143,0.625,40.66666667
verb,hit,1,2.545454545,35.9
